Restaurant_Name,Cuisine1,Cuisine2,Cuisine3,Cuisine4,Cuisine5,Cuisine6,Cuisine7,Cuisine8,Category,Pricing_for_2,Locality in Pune,Dining_Rating
Cafe Co2 Resto Lounge,North Indian,European,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Continental, Chinese",2700, Bhugaon,4.3
Hoppipola,Quick eats,European,East Asian,Indian (other),MISSING,MISSING,MISSING,MISSING,"Finger Food, Italian, Chinese, Modern Indian",1600,Kalyani Nagar,4.3
Durvankur,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Maharashtrian,600, Sadashiv Peth,4.3
Bacharika- Rooftop Bar And Kitchen,East Asian,North Indian,European,Middle Eastern,European,MISSING,MISSING,MISSING,"Chinese, North Indian, Continental, Middle Eastern, European",1600, Kothrud,4.3
Talli,North Indian,Asian (unspecified),European,European,MISSING,MISSING,MISSING,MISSING,"North Indian, Asian, Continental, Italian",1600, Koregaon Park,4.3
Nawab Asia,North Indian,East Asian,Indian (other),Indian (other),Desserts,Beverages,MISSING,MISSING,"North Indian, Chinese, Mughlai, Biryani, Desserts, Beverages",1300, Baner,4.3
Eternia Rooftop,The Americas,East Asian,North Indian,European,Indian (other),MISSING,MISSING,MISSING,"American, Chinese, North Indian, Italian, Mughlai",1800, Senapati Bapat Road,4.3
Fatcook,European,East Asian,North Indian,The Americas,Middle Eastern,MISSING,MISSING,MISSING,"Italian, Chinese, North Indian, Mexican, Lebanese",600, Baner,4.3
Buon Cibo- The Italian Cafe,Coffee and Tea,European,European,The Americas,Healthy Food,Other Indian,Desserts,Beverages,"Cafe, Italian, Continental, Mexican, Salad, Pizza, Desserts, Beverages",700, Baner,4.3
Swig,Quick eats,North Indian,Fast Food,Beverages,European,Desserts,MISSING,MISSING,"Finger Food, North Indian, Fast Food, Beverages, Italian, Desserts",1500, Senapati Bapat Road,4.3
The Asian Box Resto Bar,East Asian,Southeast Asian,Southeast Asian,Oriental,Southeast Asian,Southeast Asian,MISSING,MISSING,"Chinese, Malaysian, Thai, Japanese, Indonesian, Singaporean",1300, Baner,4.3
Qabil-E-Tareef,Middle Eastern,North Indian,Seafood,Indian (other),MISSING,MISSING,MISSING,MISSING,"Lebanese, North Indian, Seafood, Mughlai",1200,Pimple Saudagar,4.3
Latitude - Blue Diamond,North Indian,Mediterranean,European,European,MISSING,MISSING,MISSING,MISSING,"North Indian, Mediterranean, Italian, European",2000, Koregaon Park,4.3
Apache High Street,Quick eats,European,Healthy Food,MISSING,MISSING,MISSING,MISSING,MISSING,"Finger Food, Continental, Salad",1100, Baner,4.3
Evviva Sky Lounge - Crowne Plaza Pune City Centre,Asian (unspecified),Indian (other),European,MISSING,MISSING,MISSING,MISSING,MISSING,"Asian, Mughlai, Continental",2300,Bund Garden Road,4.3
Butter Brews Bistro,Coffee and Tea,European,Healthy Food,Fast Food,Desserts,Beverages,MISSING,MISSING,"Cafe, Continental, Salad, Fast Food, Desserts, Beverages",800, Model Colony,4.3
Spice Culture,North Indian,Indian (other),East Asian,European,European,Desserts,MISSING,MISSING,"North Indian, Biryani, Chinese, Continental, Italian, Desserts",700, Salunkhe Vihar Road,4.3
Mughal Sarai,North Indian,East Asian,Indian (other),European,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Mughlai, Italian",1500, Kondhawa,4.3
One O Eight Cafe,Coffee and Tea,European,European,MISSING,MISSING,MISSING,MISSING,MISSING,"Cafe, Italian, Continental",1000, Koregaon Park,4.3
Cafe Peter,Coffee and Tea,European,Oriental,Fast Food,Desserts,Beverages,MISSING,MISSING,"Cafe, Continental, Oriental, Fast Food, Desserts, Beverages",900, Aundh,4.3
Bhairavee Pure Veg Restaurant,North Indian,East Asian,Indian (other),Desserts,Beverages,MISSING,MISSING,MISSING,"North Indian, Chinese, Biryani, Desserts, Beverages",1300, Baner,4.3
Desi Aroma,Indian (other),North Indian,Indian (other),Kebab,MISSING,MISSING,MISSING,MISSING,"Mughlai, North Indian, Biryani, Kebab",1100, Baner,4.3
Hotel Shreyas,North Indian,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, Fast Food, Beverages",500, Deccan Gymkhana,4.3
Samudra,North Indian,South Indian,Sandwich,Oriental,Rajasthani,MISSING,MISSING,MISSING,"North Indian, South Indian, Sandwich, Chinese, Maharashtrian",800, Erandwane,4.3
La Sicilia Bistro & Patisserie,Healthy Food,European,European,The Americas,Desserts,Beverages,MISSING,MISSING,"Salad, Continental, Italian, Mexican, Desserts, Beverages",1200, Kothrud,4.3
Cream Craver,North Indian,Street Food,East Asian,Beverages,MISSING,MISSING,MISSING,MISSING,"North Indian, Street Food, Chinese, Beverages",600, Camp Area,4.3
The Cafè - Hyatt Regency Pune,North Indian,Asian (unspecified),European,European,Desserts,Ice Cream,Beverages,MISSING,"North Indian, Asian, Continental, Italian, Desserts, Ice Cream, Beverages",2000,Nagar Road,4.3
Tien,Coffee and Tea,Healthy Food,East Asian,Desserts,Beverages,MISSING,MISSING,MISSING,"Cafe, Healthy Food, Sushi, Desserts, Beverages",1100, Model Colony,4.3
Cafe Apo,Coffee and Tea,European,Fast Food,Beverages,Steak,MISSING,MISSING,MISSING,"Cafe, Italian, Fast Food, Beverages, Steak",800, Kothrud,4.3
Satguru's Punjabi Rasoi,North Indian,East Asian,Indian (other),MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Mughlai",1000, Chinchwad,4.3
Dhaba Shaba Veg Bistro,North Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese",700, Koregaon Park,4.3
Chopsticks Spice Malabar,South Indian,North Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,"Kerala, North Indian, Chinese",800, Viman Nagar,4.3
Delhi Kitchen,North Indian,East Asian,Street Food,Desserts,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Street Food, Desserts",600, Aundh,4.3
Marz-O-Rin,Fast Food,Desserts,Bakery,Sandwich,Beverages,MISSING,MISSING,MISSING,"Fast Food, Desserts, Bakery, Sandwich, Beverages",300, MG Road,4.3
Dakkhan Spice,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Maharashtrian,550, Nigdi,4.3
Retox,Asian (unspecified),European,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"Asian, European, North Indian",2000, Erandwane,4.3
Shawarma King,Rolls,Middle Eastern,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Rolls, Lebanese",300, Akurdi,4.3
Tim Luck Luck,North Indian,East Asian,Seafood,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Seafood",1000, East Street,4.3
Pruthvi Vegetarianism,North Indian,East Asian,South Indian,Fast Food,Sandwich,Beverages,MISSING,MISSING,"North Indian, Chinese, South Indian, Fast Food, Sandwich, Beverages",800, Kothrud,4.3
Yolkshire,European,Healthy Food,Fast Food,European,Beverages,Desserts,MISSING,MISSING,"Italian, Salad, Fast Food, Continental, Beverages, Desserts",850, Kothrud,4.3
Uncle's Chinese,East Asian,Southeast Asian,Asian (unspecified),Seafood,Beverages,MISSING,MISSING,MISSING,"Chinese, Thai, Asian, Seafood, Beverages",600, Koregaon Park,4.3
Tea Villa Cafe,Fast Food,European,North Indian,Rolls,Beverages,Desserts,MISSING,MISSING,"Fast Food, Continental, North Indian, Rolls, Beverages, Desserts",1200, Viman Nagar,4.3
Hot Momo's And Burger,Himalayan,East Asian,Burger,Fast Food,MISSING,MISSING,MISSING,MISSING,"Momos, Chinese, Burger, Fast Food",250, Senapati Bapat Road,4.3
Satkar Rice Plate House,North Indian,North Indian,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"Malwani, North Indian, Maharashtrian",800,Sinhgad Road,4.3
Angaar,North Indian,Indian (other),East Asian,Seafood,Beverages,MISSING,MISSING,MISSING,"North Indian, Mughlai, Chinese, Seafood, Beverages",600, Wakad,4.3
Soy Affair,Asian (unspecified),Southeast Asian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,"Asian, Thai, Chinese",700, Aundh,4.3
Over The Top - Radisson Blu,European,North Indian,Asian (unspecified),Bar Food,Beverages,MISSING,MISSING,MISSING,"Continental, North Indian, Asian, Bar Food, Beverages",1600,Hinjawadi,4.3
True Tramm Trunk,North Indian,Fast Food,Bar Food,European,MISSING,MISSING,MISSING,MISSING,"North Indian, Fast Food, Bar Food, Continental",1600, Aundh,4.3
Lad Restaurant,North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Maharashtrian,550, Wakad,4.3
Punjab Canteen,North Indian,Street Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Street Food, Beverages",850, Kothrud,4.3
Tiranga Bhuvan Kothrud,North Indian,North Indian,Indian (other),Beverages,MISSING,MISSING,MISSING,MISSING,"Maharashtrian, North Indian, Biryani, Beverages",1100, Kothrud,4.3
Gajalee,Seafood,Indian (other),North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"Seafood, Mughlai, North Indian",1000,Bund Garden Road,4.3
Garden Vada Pav Centre,Street Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Street Food,100, Erandwane,4.3
Cake N Counter,Bakery,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Bakery,300, East Street,4.3
Basho's,North Indian,East Asian,Indian (other),Beverages,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Mughlai, Beverages",1600, Mundhwa,4.3
Sambar Pure Veg,South Indian,East Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"South Indian, Chinese",350, Viman Nagar,4.3
Surmay,North Indian,North Indian,Seafood,MISSING,MISSING,MISSING,MISSING,MISSING,"Malwani, North Indian, Seafood",600, Erandwane,4.3
Yumma Swami,South Indian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,South Indian,400, Camp Area,4.3
Chinese Room,East Asian,Asian (unspecified),Seafood,Beverages,MISSING,MISSING,MISSING,MISSING,"Chinese, Asian, Seafood, Beverages",1200, East Street,4.3
The Momo Panda,Himalayan,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Momos, Beverages",200, Kothrud,4.3
Piatto Dessert Studio || Cafe,Coffee and Tea,Bakery,Desserts,Fast Food,MISSING,MISSING,MISSING,MISSING,"Cafe, Bakery, Desserts, Fast Food",1000,Kalyani Nagar,4.3
The Chocolate Room,Coffee and Tea,Desserts,Bakery,European,MISSING,MISSING,MISSING,MISSING,"Cafe, Desserts, Bakery, Italian",700,FC Road,4.3
7th Heaven,Bakery,Desserts,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Bakery, Desserts",400, Baner,4.3
Cafe Delhi Heights,Asian (unspecified),Indian (other),European,Coffee and Tea,Beverages,Desserts,MISSING,MISSING,"Asian, Modern Indian, Continental, Cafe, Beverages, Desserts",2000, Viman Nagar,4.3
Abejo,Indian (other),North Indian,Indian (other),Kebab,MISSING,MISSING,MISSING,MISSING,"Mughlai, North Indian, Biryani, Kebab",1400, Yerawada,4.3
Arabian Bites,Middle Eastern,Fast Food,Middle Eastern,Middle Eastern,Beverages,MISSING,MISSING,MISSING,"Arabian, Fast Food, Lebanese, Middle Eastern, Beverages",300, Kondhawa,4.3
Theobroma,Desserts,Bakery,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Desserts, Bakery, Beverages",400, Koregaon Park,4.3
Hidden Place - The Hangout,European,North Indian,Quick eats,Seafood,European,MISSING,MISSING,MISSING,"Continental, North Indian, Finger Food, Seafood, Italian",1700,Dhole Patil Road,4.3
Kalinga Veg Gourmet Kitchen,South Indian,North Indian,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,"South Indian, North Indian, Fast Food, Beverages",600, Erandwane,4.3
Frozen Bottle,Beverages,Desserts,Ice Cream,MISSING,MISSING,MISSING,MISSING,MISSING,"Beverages, Desserts, Ice Cream",400,FC Road,4.3
Aloha - The Tiki Bar,European,East Asian,North Indian,Bar Food,Fast Food,MISSING,MISSING,MISSING,"Continental, Chinese, North Indian, Bar Food, Fast Food",1200, Hadapsar,4.3
Bubsterr's,Pizza,Quick eats,Burger,MISSING,MISSING,MISSING,MISSING,MISSING,"Pizza, Hot dogs, Burger",1400,Kalyani Nagar,4.3
Sassy Teaspoon,Bakery,Desserts,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Bakery, Desserts",300, Koregaon Park,4.3
Sandwich Express,Sandwich,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Sandwich, Fast Food, Beverages",300, Koregaon Park,4.3
Lollapalooza,North Indian,European,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Continental",1500,Pimple Saudagar,4.3
Sahana Veg Restaurant,North Indian,East Asian,Desserts,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Desserts",700, Budhwar Peth,4.3
Priya,South Indian,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"South Indian, Fast Food, Beverages",300, MG Road,4.3
Nine Square,European,North Indian,European,Asian,Indian (other),Other Indian,Desserts,Beverages,"Continental, North Indian, Italian, Asian, Pasta, Pizza, Desserts, Beverages",1000, Yerawada,4.3
Tea Trails Cafe,Coffee and Tea,European,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,"Cafe, Italian, Fast Food, Beverages",900, Aundh,4.3
Hotel Durga,Street Food,South Indian,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Street Food, South Indian, Beverages",400, Kothrud,4.3
The Quick Wok,East Asian,Southeast Asian,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Chinese, Thai",700,Hinjawadi,4.3
Dino and Duggy's,North Indian,Burger,European,European,East Asian,MISSING,MISSING,MISSING,"North Indian, Burger, Italian, Continental, Pizza",1300, Viman Nagar,4.3
Bagicha Corner,Fast Food,Beverages,Ice Cream,Street Food,MISSING,MISSING,MISSING,MISSING,"Fast Food, Beverages, Ice Cream, Street Food",500, MG Road,4.3
Itss Yummyy,Fast Food,Healthy Food,Middle Eastern,MISSING,MISSING,MISSING,MISSING,MISSING,"Fast Food, Healthy Food, Lebanese",500, Katraj,4.3
Lucknow Meri Jaan,Rolls,Indian (other),North Indian,Kebab,MISSING,MISSING,MISSING,MISSING,"Rolls, Biryani, North Indian, Kebab",600, Pimple Nilakh,4.3
Hotel Sangrilla,East Asian,North Indian,Indian (other),Indian (other),MISSING,MISSING,MISSING,MISSING,"Chinese, North Indian, Biryani, Mughlai",700, Ravet,4.3
Upsouth,South Indian,Fast Food,Beverages,Desserts,MISSING,MISSING,MISSING,MISSING,"South Indian, Fast Food, Beverages, Desserts",300, Viman Nagar,4.3
Mad Over Donuts,Desserts,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Desserts, Beverages",400, Viman Nagar,4.3
Koko Scoop,Desserts,Ice Cream,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Desserts, Ice Cream",300, Viman Nagar,4.3
Flavours Street,Sandwich,Fast Food,Beverages,MISSING,MISSING,MISSING,MISSING,MISSING,"Sandwich, Fast Food, Beverages",200,FC Road,4.3
TTF - The Tenth Floor,North Indian,European,Quick eats,European,Beverages,MISSING,MISSING,MISSING,"North Indian, Continental, Finger Food, Italian, Beverages",1500, Baner,4.2
2BHK Diner & Key Club,North Indian,Mediterranean,European,Finger Food,European,The Americas,Beverages,MISSING,"North Indian, Mediterranean, European, Finger Food, Italian, American, Beverages",2500,Bund Garden Road,4.2
Pimlico,Coffee and Tea,European,European,MISSING,MISSING,MISSING,MISSING,MISSING,"Cafe, Continental, Italian",700, Koregaon Park,4.2
The Cult - Terra,North Indian,European,Middle Eastern,European,Seafood,Asian (unspecified),MISSING,MISSING,"North Indian, Continental, Lebanese, Italian, Seafood, Asian",1700,Magarpatta,4.2
Spice Factory,North Indian,East Asian,Indian (other),Beverages,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Mughlai, Beverages",2000, Kharadi,4.2
The 3 Musketeers Pub,North Indian,East Asian,European,Indian (other),Beverages,MISSING,MISSING,MISSING,"North Indian, Chinese, Continental, Mughlai, Beverages",1500, Baner,4.2
Ice N Fire Sky Lounge,North Indian,Indian (other),East Asian,Fast Food,European,Southeast Asian,MISSING,MISSING,"North Indian, Mughlai, Chinese, Fast Food, Continental, Thai",1500, Baner,4.2
Culture - पुणे,Bar Food,North Indian,European,Oriental,MISSING,MISSING,MISSING,MISSING,"Bar Food, North Indian, Continental, Chinese",1450, Shivaji Nagar,4.2
Supreme Corner,Street Food,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"Street Food, Fast Food",300, JM Road,4.2
Urbo,European,North Indian,Indian (other),Oriental,Fast Food,Beverages,MISSING,MISSING,"Continental, North Indian, Mughlai, Chinese, Fast Food, Beverages",1700, Baner,4.2
Hakuna Matata,North Indian,East Asian,Fast Food,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Fast Food",1600, Shivaji Nagar,4.2
ROOTS 9 KITCHEN & BAR,European,European,North Indian,Finger Food,MISSING,MISSING,MISSING,MISSING,"Continental, Italian, North Indian, Finger Food",1400, Erandwane,4.2
World Of Veg,North Indian,East Asian,European,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Chinese, Italian",1500, Shivaji Nagar,4.2
NH 37 Dhaba,East Asian,North Indian,North Indian,Healthy Food,MISSING,MISSING,MISSING,MISSING,"Chinese, North Indian, Bengali, Salad",1200, Pune University,4.2
The Flour Works,European,The Americas,Bakery,Healthy Food,Desserts,MISSING,MISSING,MISSING,"European, American, Bakery, Salad, Desserts",1300, Baner,4.2
TRP - The Rooftop Project,North Indian,Asian (unspecified),European,MISSING,MISSING,MISSING,MISSING,MISSING,"North Indian, Asian, Italian",1200, MG Road,4.2
SP's Biryani House,Indian (other),Indian (other),North Indian,MISSING,MISSING,MISSING,MISSING,MISSING,"Biryani, Mughlai, North Indian",800, Sadashiv Peth,4.2
Texas Tower,European,North Indian,European,Finger Food,Desserts,MISSING,MISSING,MISSING,"Continental, North Indian, Italian, Finger Food, Desserts",1600, Kharadi,4.2
The Place - Touche The Sizzler,European,North Indian,Seafood,Desserts,MISSING,MISSING,MISSING,MISSING,"Continental, North Indian, Seafood, Desserts",1000, Camp Area,4.2
Zen Cafe,Coffee and Tea,East Asian,European,European,Beverages,MISSING,MISSING,MISSING,"Cafe, Sushi, Continental, Italian, Beverages",800, Koregaon Park,4.2
Highland,Bar Food,North Indian,European,Desserts,Beverages,MISSING,MISSING,MISSING,"Bar Food, North Indian, Italian, Desserts, Beverages",1900, Baner,4.2
Kolhapuri Katta,North Indian,Kebab,Indian (other),Seafood,Rajasthani,MISSING,MISSING,MISSING,"Maharashtrian, Kebab, Biryani, Seafood, Malwani",800, Bibvewadi,4.2
Filament Bar,European,European,North Indian,Asian,Bar Food,Indian (other),East Asian,MISSING,"Continental, Italian, North Indian, Asian, Bar Food, Mughlai, Seafood",1400, Baner,4.2
Chafa Cafe And Studio,Coffee and Tea,Healthy Food,Healthy Food,European,Fast Food,Desserts,Beverages,MISSING,"Cafe, Salad, Healthy Food, Continental, Fast Food, Desserts, Beverages",1000, Koregaon Park,4.2
Carnival Restaurant And Bar,North Indian,East Asian,European,Seafood,Desserts,Beverages,MISSING,MISSING,"North Indian, Chinese, Continental, Seafood, Desserts, Beverages",1800, Mundhwa,4.2
German Bakery,European,European,Coffee and Tea,Beverages,MISSING,MISSING,MISSING,MISSING,"German, Italian, Cafe, Beverages",1100, Koregaon Park,4.2
Italy Via Punjab,European,North Indian,Fast Food,Indian (other),MISSING,MISSING,MISSING,MISSING,"Italian, North Indian, Fast Food, Mughlai",800, Baner,4.2
JZ Lake View Resto Bar,North Indian,European,Asian (unspecified),Fast Food,Desserts,MISSING,MISSING,MISSING,"North Indian, Continental, Asian, Fast Food, Desserts",1600, Bhugaon,4.2
Thikana,Bar Food,North Indian,Fast Food,European,Street Food,Desserts,MISSING,MISSING,"Bar Food, North Indian, Fast Food, Italian, Street Food, Desserts",1500,Hinjawadi,4.2
Punjabi TREAT,North Indian,East Asian,Indian (other),Seafood,Rajasthani,Fast Food,Indian (other),MISSING,"North Indian, Chinese, Mughlai, Seafood, Bengali, Fast Food, Biryani",800, Ravet,4.2
Brgrmeister,Burger,The Americas,BBQ,North Indian,European,Bar Food,Beverages,Desserts,"Burger, American, BBQ, North Indian, Continental, Bar Food, Beverages, Desserts",1000, Kharadi,4.2
Sawai Veg,North Indian,East Asian,Fast Food,Desserts,Beverages,MISSING,MISSING,MISSING,"North Indian, Chinese, Fast Food, Desserts, Beverages",1000,Sinhgad Road,4.2
